level	start	end	color	opacity	title
4	345906	362291	#006fff	1.0	Scheduler initiated by="Operation <0>" total=16385 us start=345906 us stop=362291 us
4	362312	362315	#003fff	1.0	State Analaysis initiated by="main <16>" total=3 us start=362312 us stop=362315 us
4	362347	362394	#FFC0CB	1.0	ProfTask total=47 us start=362347 us stop=362394 us
4	362401	381137	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="main <16>" total=18736 us start=362401 us stop=381137 us
3	371983	378209	#ff7700	1.0	Mapper Call map_task for main <16> total=6226 us start=371983 us stop=378209 us
3	378349	381112	#00ff51	1.0	Mapper Call configure_context total=2763 us start=378349 us stop=381112 us
4	381144	381145	#FFC0CB	1.0	ProfTask <16> total=1 us start=381144 us stop=381145 us
4	381146	381147	#FFC0CB	1.0	ProfTask <16> total=1 us start=381146 us stop=381147 us
4	381192	381222	#ff00e3	1.0	Decrement Pending Task initiated by="main <16>" total=30 us start=381192 us stop=381222 us
4	381231	381233	#FFC0CB	1.0	ProfTask <16> total=2 us start=381231 us stop=381233 us
4	384223	398288	#0093ff	1.0	Logical Dependence Analysis initiated by="Task Operation <48>" total=14065 us start=384223 us stop=398288 us
4	398295	407282	#006600	1.0	Post initiated by="main <16>" total=8987 us start=398295 us stop=407282 us
4	407290	407314	#006fff	1.0	Scheduler initiated by="Operation <0>" total=24 us start=407290 us stop=407314 us
4	407319	407323	#FFC0CB	1.0	ProfTask <16> total=4 us start=407319 us stop=407323 us
4	407324	407325	#FFC0CB	1.0	ProfTask <48> total=1 us start=407324 us stop=407325 us
4	407326	407327	#FFC0CB	1.0	ProfTask <16> total=1 us start=407326 us stop=407327 us
4	407328	410309	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="Task Operation <48>" total=2981 us start=407328 us stop=410309 us
4	410317	410318	#FFC0CB	1.0	ProfTask total=1 us start=410317 us stop=410318 us
4	410320	410320	#FFC0CB	1.0	ProfTask <48> total=0 us start=410320 us stop=410320 us
4	415285	418125	#ff7d00	1.0	Message Send Remote Context Request total=2840 us start=415285 us stop=418125 us
4	523117	527146	#00b1ff	1.0	Message Task Message total=4029 us start=523117 us stop=527146 us
