level	start	end	color	opacity	title
4	385227	391671	#006fff	1.0	Scheduler initiated by="Operation <0>" total=6444 us start=385227 us stop=391671 us
4	391693	391695	#003fff	1.0	State Analaysis initiated by="main <16>" total=2 us start=391693 us stop=391695 us
4	391729	391776	#FFC0CB	1.0	ProfTask total=47 us start=391729 us stop=391776 us
4	391783	411595	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="main <16>" total=19812 us start=391783 us stop=411595 us
3	404175	408476	#ff7700	1.0	Mapper Call map_task for main <16> total=4301 us start=404175 us stop=408476 us
3	408618	411571	#00ff51	1.0	Mapper Call configure_context total=2953 us start=408618 us stop=411571 us
4	411603	411604	#FFC0CB	1.0	ProfTask <16> total=1 us start=411603 us stop=411604 us
4	411605	411606	#FFC0CB	1.0	ProfTask <16> total=1 us start=411605 us stop=411606 us
4	411649	411680	#ff00e3	1.0	Decrement Pending Task initiated by="main <16>" total=31 us start=411649 us stop=411680 us
4	411690	411691	#FFC0CB	1.0	ProfTask <16> total=1 us start=411690 us stop=411691 us
4	415292	424222	#0093ff	1.0	Logical Dependence Analysis initiated by="Task Operation <48>" total=8930 us start=415292 us stop=424222 us
4	424229	431192	#006600	1.0	Post initiated by="main <16>" total=6963 us start=424229 us stop=431192 us
4	431200	431223	#006fff	1.0	Scheduler initiated by="Operation <0>" total=23 us start=431200 us stop=431223 us
4	431227	431232	#FFC0CB	1.0	ProfTask <16> total=5 us start=431227 us stop=431232 us
4	431233	431234	#FFC0CB	1.0	ProfTask <48> total=1 us start=431233 us stop=431234 us
4	431235	431235	#FFC0CB	1.0	ProfTask <16> total=0 us start=431235 us stop=431235 us
4	431237	434404	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="Task Operation <48>" total=3167 us start=431237 us stop=434404 us
4	434412	434414	#FFC0CB	1.0	ProfTask total=2 us start=434412 us stop=434414 us
4	434415	434415	#FFC0CB	1.0	ProfTask <48> total=0 us start=434415 us stop=434415 us
4	443680	446155	#ff7d00	1.0	Message Send Remote Context Request total=2475 us start=443680 us stop=446155 us
