level	processor
5	CPU Processor 0x1d00000000000001
8	CPU Processor 0x1d00000000000002
10	CPU Processor 0x1d00000000000003
12	CPU Processor 0x1d00000000000004
20	CPU Processor 0x1d00000000000008
14	CPU Processor 0x1d00000000000005
16	CPU Processor 0x1d00000000000006
18	CPU Processor 0x1d00000000000007
3	Utility Processor 0x1d00000000000000
53	System Memory 0x1e00000000000000
