level	processor
97	CPU Processor 0x1d00080000000001
102	Utility Processor 0x1d00090000000000
104	CPU Processor 0x1d00090000000001
109	Utility Processor 0x1d000a0000000000
111	CPU Processor 0x1d000a0000000001
116	Utility Processor 0x1d000b0000000000
118	CPU Processor 0x1d000b0000000001
123	Utility Processor 0x1d000c0000000000
125	CPU Processor 0x1d000c0000000001
130	Utility Processor 0x1d000d0000000000
132	CPU Processor 0x1d000d0000000001
137	Utility Processor 0x1d000e0000000000
139	CPU Processor 0x1d000e0000000001
144	Utility Processor 0x1d000f0000000000
4	Utility Processor 0x1d00000000000000
6	CPU Processor 0x1d00000000000001
45	Utility Processor 0x1d00010000000000
48	CPU Processor 0x1d00010000000001
53	Utility Processor 0x1d00020000000000
55	CPU Processor 0x1d00020000000001
60	Utility Processor 0x1d00030000000000
62	CPU Processor 0x1d00030000000001
67	Utility Processor 0x1d00040000000000
69	CPU Processor 0x1d00040000000001
74	Utility Processor 0x1d00050000000000
76	CPU Processor 0x1d00050000000001
81	Utility Processor 0x1d00060000000000
146	CPU Processor 0x1d000f0000000001
83	CPU Processor 0x1d00060000000001
88	Utility Processor 0x1d00070000000000
90	CPU Processor 0x1d00070000000001
95	Utility Processor 0x1d00080000000000
173	System Memory 0x1e00080000000000
149	System Memory 0x1e00000000000000
161	System Memory 0x1e00040000000000
182	System Memory 0x1e000b0000000000
194	System Memory 0x1e000f0000000000
164	System Memory 0x1e00050000000000
152	System Memory 0x1e00010000000000
176	System Memory 0x1e00090000000000
188	System Memory 0x1e000d0000000000
170	System Memory 0x1e00070000000000
191	System Memory 0x1e000e0000000000
155	System Memory 0x1e00020000000000
179	System Memory 0x1e000a0000000000
185	System Memory 0x1e000c0000000000
158	System Memory 0x1e00030000000000
167	System Memory 0x1e00060000000000
