level	start	end	color	opacity	title
4	43459	44239	#006fff	1.0	Scheduler initiated by="Operation <0>" total=780 us start=43459 us stop=44239 us
4	44261	44263	#003fff	1.0	State Analaysis initiated by="main <1>" total=2 us start=44261 us stop=44263 us
4	44298	44345	#FFC0CB	1.0	ProfTask total=47 us start=44298 us stop=44345 us
4	44352	46094	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="main <1>" total=1742 us start=44352 us stop=46094 us
3	44793	45155	#ff7700	1.0	Mapper Call map_task for main <1> total=362 us start=44793 us stop=45155 us
3	45301	45469	#00ff51	1.0	Mapper Call configure_context total=168 us start=45301 us stop=45469 us
4	46102	46103	#FFC0CB	1.0	ProfTask <1> total=1 us start=46102 us stop=46103 us
4	46104	46105	#FFC0CB	1.0	ProfTask <1> total=1 us start=46104 us stop=46105 us
4	46160	46197	#ff00e3	1.0	Decrement Pending Task initiated by="main <1>" total=37 us start=46160 us stop=46197 us
4	46206	46207	#FFC0CB	1.0	ProfTask <1> total=1 us start=46206 us stop=46207 us
4	46509	47106	#0093ff	1.0	Logical Dependence Analysis initiated by="test <3>" total=597 us start=46509 us stop=47106 us
4	47113	47692	#006600	1.0	Post initiated by="main <1>" total=579 us start=47113 us stop=47692 us
4	47699	47727	#006fff	1.0	Scheduler initiated by="Operation <0>" total=28 us start=47699 us stop=47727 us
4	47731	47736	#FFC0CB	1.0	ProfTask <1> total=5 us start=47731 us stop=47736 us
4	47737	47738	#FFC0CB	1.0	ProfTask <3> total=1 us start=47737 us stop=47738 us
4	47739	47740	#FFC0CB	1.0	ProfTask <1> total=1 us start=47739 us stop=47740 us
4	47741	47935	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="test <3>" total=194 us start=47741 us stop=47935 us
4	47942	47960	#006fff	1.0	Scheduler initiated by="Operation <0>" total=18 us start=47942 us stop=47960 us
4	47964	47965	#FFC0CB	1.0	ProfTask total=1 us start=47964 us stop=47965 us
4	47966	47966	#FFC0CB	1.0	ProfTask <3> total=0 us start=47966 us stop=47966 us
4	47967	48020	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="test <3>" total=53 us start=47967 us stop=48020 us
4	48035	48036	#FFC0CB	1.0	ProfTask total=1 us start=48035 us stop=48036 us
4	48039	48039	#FFC0CB	1.0	ProfTask <3> total=0 us start=48039 us stop=48039 us
4	48069	48071	#ff00e3	1.0	Decrement Pending Task initiated by="test <3>" total=2 us start=48069 us stop=48071 us
4	48079	48080	#FFC0CB	1.0	ProfTask <3> total=1 us start=48079 us stop=48080 us
4	53587	53691	#0093ff	1.0	Logical Dependence Analysis initiated by="structured_partition <4>" total=104 us start=53587 us stop=53691 us
4	53702	53725	#006fff	1.0	Scheduler initiated by="Operation <0>" total=23 us start=53702 us stop=53725 us
4	53729	53730	#FFC0CB	1.0	ProfTask <4> total=1 us start=53729 us stop=53730 us
4	53732	53745	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <4>" total=13 us start=53732 us stop=53745 us
4	53750	53765	#006fff	1.0	Scheduler initiated by="Operation <0>" total=15 us start=53750 us stop=53765 us
4	53768	53772	#FFC0CB	1.0	ProfTask total=4 us start=53768 us stop=53772 us
4	53773	53773	#FFC0CB	1.0	ProfTask <4> total=0 us start=53773 us stop=53773 us
4	53774	54116	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="structured_partition <4>" total=342 us start=53774 us stop=54116 us
3	53835	54038	#ff7700	1.0	Mapper Call map_task for structured_partition <4> total=203 us start=53835 us stop=54038 us
4	54132	54134	#FFC0CB	1.0	ProfTask total=2 us start=54132 us stop=54134 us
4	54136	54137	#FFC0CB	1.0	ProfTask <4> total=1 us start=54136 us stop=54137 us
4	54144	54145	#ff00e3	1.0	Decrement Pending Task initiated by="structured_partition <4>" total=1 us start=54144 us stop=54145 us
4	54151	54152	#FFC0CB	1.0	ProfTask <4> total=1 us start=54151 us stop=54152 us
4	55629	56523	#006600	1.0	Post initiated by="structured_partition <4>" total=894 us start=55629 us stop=56523 us
4	56534	56536	#FFC0CB	1.0	ProfTask <4> total=2 us start=56534 us stop=56536 us
4	56537	56538	#FFC0CB	1.0	ProfTask <4> total=1 us start=56537 us stop=56538 us
4	56618	61608	#0093ff	1.0	Logical Dependence Analysis initiated by="init <5>" total=4990 us start=56618 us stop=61608 us
4	61618	61636	#006fff	1.0	Scheduler initiated by="Operation <0>" total=18 us start=61618 us stop=61636 us
4	61641	61655	#0093ff	1.0	Logical Dependence Analysis initiated by="structured_partition <6>" total=14 us start=61641 us stop=61655 us
4	61660	61681	#006fff	1.0	Scheduler initiated by="Operation <0>" total=21 us start=61660 us stop=61681 us
4	61686	61688	#FFC0CB	1.0	ProfTask <5> total=2 us start=61686 us stop=61688 us
4	61689	62933	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <5>" total=21978 us start=61689 us stop=83667 us (wait for 20697 us)
4	62933	83266	#2b00ff	0.15	Task Physical Dependence Analysis initiated by="init <5>" total=21978 us start=61689 us stop=83667 us (wait for 20697 us)
4	83266	83630	#2b00ff	0.45	Task Physical Dependence Analysis initiated by="init <5>" total=21978 us start=61689 us stop=83667 us (wait for 20697 us)
4	83630	83667	#2b00ff	1.0	Task Physical Dependence Analysis initiated by="init <5>" total=21978 us start=61689 us stop=83667 us (wait for 20697 us)
3	61696	62400	#fff500	1.0	Mapper Call slice_task total=704 us start=61696 us stop=62400 us
3	62957	62999	#ff0077	1.0	Deferred Slice initiated by="init <7> (<-init <5>)" total=42 us start=62957 us stop=62999 us
3	63006	63011	#ff0077	1.0	Deferred Slice initiated by="init <8> (<-init <5>)" total=5 us start=63006 us stop=63011 us
3	63015	81235	#ff0077	1.0	Deferred Slice initiated by="init <9> (<-init <5>)" total=19368 us start=63015 us stop=82383 us (wait for 348 us)
3	81235	81572	#ff0077	0.15	Deferred Slice initiated by="init <9> (<-init <5>)" total=19368 us start=63015 us stop=82383 us (wait for 348 us)
3	81572	81583	#ff0077	0.45	Deferred Slice initiated by="init <9> (<-init <5>)" total=19368 us start=63015 us stop=82383 us (wait for 348 us)
3	81583	82383	#ff0077	1.0	Deferred Slice initiated by="init <9> (<-init <5>)" total=19368 us start=63015 us stop=82383 us (wait for 348 us)
2	63853	78402	#ff7700	1.0	Mapper Call map_task for init <15> (<-init <9> (<-init <5>)) total=14549 us start=63853 us stop=78402 us
2	80852	81043	#ff7700	1.0	Mapper Call map_task for init <16> (<-init <9> (<-init <5>)) total=191 us start=80852 us stop=81043 us
2	81569	81574	#ff00e3	1.0	Decrement Pending Task initiated by="init <15> (<-init <9> (<-init <5>))" total=5 us start=81569 us stop=81574 us
3	82393	82397	#ff0077	1.0	Deferred Slice initiated by="init <10> (<-init <5>)" total=834 us start=82393 us stop=83227 us (wait for 823 us)
3	82397	82799	#ff0077	0.15	Deferred Slice initiated by="init <10> (<-init <5>)" total=834 us start=82393 us stop=83227 us (wait for 823 us)
