level	processor
6	CPU Processor 0x1d00000000000001
8	CPU Processor 0x1d00000000000002
11	CPU Processor 0x1d00000000000003
13	CPU Processor 0x1d00000000000004
21	CPU Processor 0x1d00000000000008
15	CPU Processor 0x1d00000000000005
17	CPU Processor 0x1d00000000000006
19	CPU Processor 0x1d00000000000007
4	Utility Processor 0x1d00000000000000
54	System Memory 0x1e00000000000000
